player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,,,,,,,,,,,36,,,,,,,,,,36,72,-
player_1,1,藤川 玲奈,,,,,,,,,,,,,,,,,,,,,69,-3
player_2,T2,商崎 鈴菜,,,,,,,,,,,,,,,,,,,,,70,-2
player_3,T2,橋添 香,,,,,,,,,,,,,,,,,,,,,70,-2
player_4,T4,千葉 雪乃,,,,,,,,,,,,,,,,,,,,,71,-1
player_5,T4,森田 就子,,,,,,,,,,,,,,,,,,,,,71,-1
player_6,T4,伊藤 藍月,,,,,,,,,,,,,,,,,,,,,71,-1
player_7,T4,佐藤 美優,,,,,,,,,,,,,,,,,,,,,71,-1
player_8,T4,島田 紗,,,,,,,,,,,,,,,,,,,,,71,-1
player_9,T4,桑村 美穂,,,,,,,,,,,,,,,,,,,,,71,-1
player_10,T4,佐久間 夏美,,,,,,,,,,,,,,,,,,,,,71,-1
player_11,T11,薮下 真衣,,,,,,,,,,,,,,,,,,,,,72,E
player_12,T11,和久井 麻由,,,,,,,,,,,,,,,,,,,,,72,E
player_13,T11,鍋島 海良,,,,,,,,,,,,,,,,,,,,,72,E
player_14,T11,川畑 優菜,,,,,,,,,,,,,,,,,,,,,72,E
player_15,T11,荒川 侑奈,,,,,,,,,,,,,,,,,,,,,72,E
player_16,T11,郡山 瞳,,,,,,,,,,,,,,,,,,,,,72,E
player_17,T11,林 亜莉奈,,,,,,,,,,,,,,,,,,,,,72,E
player_18,T11,高橋 琴音,,,,,,,,,,,,,,,,,,,,,72,E
player_19,T11,諸橋 愛奈,,,,,,,,,,,,,,,,,,,,,72,E
player_20,T11,西山 美希,,,,,,,,,,,,,,,,,,,,,72,E
player_21,T11,村田 結,,,,,,,,,,,,,,,,,,,,,72,E
player_22,T22,樋口 莉沙,,,,,,,,,,,,,,,,,,,,,73,+1
player_23,T22,@木村 野々花,,,,,,,,,,,,,,,,,,,,,73,+1
player_24,T22,田所 美沙樹,,,,,,,,,,,,,,,,,,,,,73,+1
player_25,T22,逢澤 菜央,,,,,,,,,,,,,,,,,,,,,73,+1
player_26,T22,小堀 愛海,,,,,,,,,,,,,,,,,,,,,73,+1
player_27,T22,@坂下 一咲,,,,,,,,,,,,,,,,,,,,,73,+1
player_28,T22,長尾 小百合,,,,,,,,,,,,,,,,,,,,,73,+1
player_29,T22,町田 涼紗,,,,,,,,,,,,,,,,,,,,,73,+1
player_30,T22,赤沼 まりの,,,,,,,,,,,,,,,,,,,,,73,+1
player_31,T22,山本 優花,,,,,,,,,,,,,,,,,,,,,73,+1
player_32,T22,柳澤 木の実,,,,,,,,,,,,,,,,,,,,,73,+1
player_33,T22,小林 瑞季,,,,,,,,,,,,,,,,,,,,,73,+1
player_34,T22,山村 真鈴,,,,,,,,,,,,,,,,,,,,,73,+1
player_35,T22,@畑中 日葉莉,,,,,,,,,,,,,,,,,,,,,73,+1
player_36,T22,二口 涼,,,,,,,,,,,,,,,,,,,,,73,+1
player_37,T22,竹原 美悠,,,,,,,,,,,,,,,,,,,,,73,+1
player_38,T38,西山 知里,,,,,,,,,,,,,,,,,,,,,74,+2
player_39,T38,植田 梨奈,,,,,,,,,,,,,,,,,,,,,74,+2
player_40,T38,江河 鈴,,,,,,,,,,,,,,,,,,,,,74,+2
player_41,T38,@田上 桜,,,,,,,,,,,,,,,,,,,,,74,+2
